Company name,Company Twitter,Nb. of Employees,What do they do (Verbatim - 10 words max.)   ,Link to website,HQ City,HQ Country,CEO name,CEO's Twitter,Link to jobpage,employees_amount_id
100Starlings,100starlings,1-10,"Cooperative, doing custom web/mobile dev   ",https://www.100starlings.com/,London,UK,Riccardo Cambiassi,bru,https://angel.co/100starlings,1.0
10up,10up,51-200,Finely crafted websites & tools for content creators,https://10up.com,,USA,John Eckman,,,3.0
21Zephyr,t21zephyr,1-10,We are about Blockchains.  ,https://www.21zephyr.com/,"Chicago, IL",USA,Michael Gucci,,,1.0
2600Hz,2600hertz,11-50,All-in-one telecom solution in the cloud        ,https://www.2600hz.com/,"San Francisco, CA",USA,Darren Schreiber,,https://www.2600hz.com/careers,2.0
33 Sticks,33sticks,1-10,Analytics insights & optimization services.      ,https://33sticks.com/,"American Fork, Utah",USA,Jason Thompson,usujason,https://33sticks.com/join-us/,1.0
3DprinterOS,3dprinteros,11-50,3D Printer Integration and Qualification      ,https://www.3dprinteros.com/,"San Francisco, CA ",USA,John Ulgar Dogru,jdogru,https://angel.co/3dprinteros/jobs,2.0
3nder,feeldco,1-10,Celebrating openminded humans.   ,https://feeld.co/,London,UK,Dimo Trifonov,denull,https://feeld.co/jobs,1.0
3SMobile,3s_mobile,1-10,Full-stack design and dev focused on mobile,https://www.3smobile.com/,Zurich,Switzerland,Eric Seuret,ericseuret,,1.0
4 Ventos,4ventosnet,1-10,Web development and press relations ,https://www.4ventos.net/,Porto,Portugal,Filipe Miguel Tavares,,,1.0
45royale,45royale,1-10,"We’re 45royale, an experienced web design studio in Atlanta, GA.  ",https://45royale.com/,"Atlanta, GA",USA,Adam Little,adam_little,https://careers.councilofnonprofits.org/company/45royale/,1.0
4D Pipeline,4dpipeline,1-10,Making Ideas and Products Successful. Agile Software Design and Development ,https://www.4dpipeline.com/,"San Jose, CA",USA,Tyler Worden,,,1.0
51Blocks,51blocks,1-10,Digital Marketing Company. ,https://www.51blocks.com,"Dever, CO",USA,Michael Borgelt,borgie,,1.0
Acceleration Partners,accelerationpar,11-50,Customer Acquisition Programs that deliver real profits.  ,https://www.accelerationpartners.com/,"Needham, MA",USA,Robert Glazer,robert_glazer,https://www.accelerationpartners.com/join-our-team,2.0
Accella,accellallc,11-50,a digital interactive agency ,https://www.accella.net/contact,"Severna Park, MD",USA,Jason King,,https://www.accella.net/contact,2.0
